"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IDN","Indonesia","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2012","2012","IDR","Rupiah","0","Units",,,3674.270252,,
"IDN","Indonesia","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2013","2013","IDR","Rupiah","0","Units",,,3794.87414,,
"IDN","Indonesia","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2014","2014","IDR","Rupiah","0","Units",,,3934.67475,,
"IDN","Indonesia","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2015","2015","IDR","Rupiah","0","Units",,,4060.45504,,
"IDN","Indonesia","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2016","2016","IDR","Rupiah","0","Units",,,4091.831,,
"TUR","Turkey","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1999","1999","TRY","Turkish Lira","0","Units",,,0.196465,,
"TUR","Turkey","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2000","2000","TRY","Turkish Lira","0","Units",,,0.281808,,
"TUR","Turkey","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2001","2001","TRY","Turkish Lira","0","Units",,,0.413948,,
"TUR","Turkey","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2002","2002","TRY","Turkish Lira","0","Units",,,0.591251,,
"TUR","Turkey","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2003","2003","TRY","Turkish Lira","0","Units",,,0.737407,,
"TUR","Turkey","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2004","2004","TRY","Turkish Lira","0","Units",,,0.792335,,
"TUR","Turkey","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2005","2005","TRY","Turkish Lira","0","Units",,,0.834589,,
"TUR","Turkey","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2006","2006","TRY","Turkish Lira","0","Units",,,0.842195,,
"TUR","Turkey","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2007","2007","TRY","Turkish Lira","0","Units",,,0.852468,,
"TUR","Turkey","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2008","2008","TRY","Turkish Lira","0","Units",,,0.87996,,
"TUR","Turkey","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2009","2009","TRY","Turkish Lira","0","Units",,,0.903519,,
